Balaji Parthasarathy	From the Cooperative to the Coercive: Digital Platforms and the Antinomies of CSCW.	2022	https://doi.org/10.1145/3500868.3559478
Taewook Kim, Qingyu Guo, Hyeonjae Kim, Wenjie Yang, Meiziniu Li, Xiaojuan Ma	Facilitating Continuous Text Messaging in Online Romantic Encounters by Expanded Keywords Enumeration.	2022	https://doi.org/10.1145/3500868.3559441
Renkai Ma, Yubo Kou	"""I am not a YouTuber who can make whatever video I want. I have to keep appeasing algorithms"": Bureaucracy of Creator Moderation on YouTube."	2022	https://doi.org/10.1145/3500868.3559445
Denise Y. Geiskkovitch, Marilena Müller, Carman Neustaedter	The Needs of Grandparents and Grandchildren in a Socially and Geographically Distanced World: A Case Study.	2022	https://doi.org/10.1145/3500868.3559444
Alina Striner, Thomas Röggla, Mikel Zorrilla, Sergio Cabrero Barros, Stefano Masneri, Héctor Rivas Pagador, Irene Calvis, Jie Li, Pablo César	The Co-Creation Space: Supporting Asynchronous Artistic Co-creation Dynamics.	2022	https://doi.org/10.1145/3500868.3559459
Jasmine Kaur, Rishabh Devgon, Dhairya Chaudhary	Work of Fiction: Using Speculative Design to Deliberate on the Future of Hiring.	2022	https://doi.org/10.1145/3500868.3559442
Soobin Cho, Bongwon Suh, Joongseek Lee	"""Hide Your Video, Show Your Action!"" Investigating a New Video Conferencing Interface for Virtual Studying."	2022	https://doi.org/10.1145/3500868.3559451
Shuo Niu, Keegan Veazey, Phoenix Pagan, Abhisan Ghimire	Understanding Hate Group Videos on YouTube.	2022	https://doi.org/10.1145/3500868.3559465
Daehyun Kwak, Hankyung Kim, Youn-Kyung Lim	"Exploring Users' Experiences of ""Suggested Posts"" in Social Media Through the Lens of Social Networking and Interactions."	2022	https://doi.org/10.1145/3500868.3559475
Rudaiba Adnin, Ishita Haque, Sadia Afroz, Alvi Md. Ishmam, A. B. M. Alim Al Islam	Investigating Human Factors in Willingness to Donate to the Small-scale Non-profit Organizations in Bangladesh.	2022	https://doi.org/10.1145/3500868.3559443
Sena Cucumak, Özge Subasi	A Critical Literature Review for Equal Participation in Human-Animal Interactions in Design.	2022	https://doi.org/10.1145/3500868.3559467
Ling-Chung Liu, Yung-Han Kao, Tina Chien-Wen Yuan, Nanyi Bi, An-Nie Chung, Ming-Chyi Huang, Chuang-Wen You	Exploring Challenges and Opportunities in Developing Systems to Improve Shopping Addiction through Social Sensing Technology.	2022	https://doi.org/10.1145/3500868.3559453
Yu-Chia Tseng, Nanyi Bi, Yung-Ju Chang, Tina Chien-Wen Yuan	Investigating Correction Effects of Different Modalities for Misinformation about COVID-19.	2022	https://doi.org/10.1145/3500868.3559455
Chih-Chi Chung, Yen-Chun Lin, Yu-Cheng Wang, Tze-Yu Chen, Chia-Yu Chen, Xinye Jiang, Fang-Yu Lin, Yu-Hao Weng, Yung-Ju Chang	CAMPUS: A University Crowdsourcing Platform for Reporting Facility, Status Update, and Problem Area Information.	2022	https://doi.org/10.1145/3500868.3559447
Taewon Yoo, Minki Chun, Yunjung Bae, Soohyun Kwon, Hyunggu Jung	Exploring the Community of Model Publishers on TensorFlow Hub.	2022	https://doi.org/10.1145/3500868.3559477
Isaiah Jones, Brent Hecht, Nicholas Vincent	Misleading Tweets and Helpful Notes: Investigating Data Labor by Twitter Birdwatch Users.	2022	https://doi.org/10.1145/3500868.3559461
Allyson I. Hauptman, Wen Duan, Nathan J. McNeese	The Components of Trust for Collaborating With AI Colleagues.	2022	https://doi.org/10.1145/3500868.3559450
Maria Conchita A. Navarro, Orit Shaer	Re-imagining Systems in the Realm of Immigration in Higher Education through Participatory Design.	2022	https://doi.org/10.1145/3500868.3559457
Mashael Yousef Almoqbel, Azadeh Naderi, Donghee Yvette Wohn, Nitesh Goyal	The Metaverse: A Systematic Literature Review to Map Scholarly Definitions.	2022	https://doi.org/10.1145/3500868.3559448
Ella Sarder, Casey Fiesler	Entering the Techlash: Student Perspectives on Ethics in Tech Job Searches.	2022	https://doi.org/10.1145/3500868.3559446
Subhasree Sengupta, Zhasmina Tacheva	"""Digital Sanctums of Empowerment"": Exploring Community and Everyday Resilience-Building Tactics in Online Professional Communities for Women."	2022	https://doi.org/10.1145/3500868.3559454
Prema Dev, Jessica Medina, Zainab Agha, Munmun De Choudhury, Afsaneh Razi, Pamela J. Wisniewski	From Ignoring Strangers' Solicitations to Mutual Sexting with Friends: Understanding Youth's Online Sexual Risks in Instagram Private Conversations.	2022	https://doi.org/10.1145/3500868.3559469
